Paragraph Text,Score
هاروكي موراكامي,10
أعتقد أن الشكل الأدبي الأقرب إلي يتمثل في رواية أرض العجائب الحارة ونهاية العالم، شخصيا لا أحب أسلوب الكتابة الوقعي. أفضل الأسلوب السريالي. لكن في حالة الغابة النرويجية فكنت قد قررت أن أكتب رواية واقعية بالكامل. أردت أنا أخوض تلك التجربة.,9
هل فكرت في الكتابة على أنها تجربة في الأسلوب أم كانت لديك قصة محددة أردت إخبارها وكان ذلك الأسلوب هو الأفضل لها,6
لو استمريت في الكتابة على ذات الأسلوب السريالي، فسيتم تعريفي به. لكني أردت أن أخالف السائد، ولذا كان لزاما علي إثبات قدرتي على كتابة كتاب واقعي. لهذا كتبت الكتاب، وقد حقق مبيعات كبيرة في اليابان كما توقعت.,8
كان خيارك مخطط له ومقصود إذن.,3
صحيح. الغابة النرويجية رواية سهلة القراءة وسهلة الفهم. كثيرون أعجبهم الكتاب. وربما تكون الرواية مدخلا لهم إلى باقي أعمالي، وهو ما يساعدني.,8
القراء الأميركيون والقراء اليابانيون يتشابهون يريدون قراءة قصة سهلة.,5
بيعت من كتابي الأخيرة كافكا على الشاطئ في مجلدين حوالي ألف نسخة. تفاجأت أنه بيع بهذا القدر، لم يكن الأمر عاديا. القصة معقدة وليست سلسة. لكن أسلوبي النثري سهل القراءة. وينطوي على حس فكاهي ودرامي يدفع الناس لقراءة الصفحة التالية ثم التي تليها. يوجد توازن سحري بين هذين العاملين، وربما يكون هذا سبب آخر لنجاحي. الأمر رهيب. أكتب رواية كل ثلاثة أعوام، والناس ينتظرونها. عقدت مقابلة ذات مرة مع جون إيرفن، وأخبرني بأن قراءة الكتب الجيدة تشبه الحقن المخدرة. وفورما يدمن الناس عليها، سيبقون دائما في الانتظار.,8
لديك رغبة في دفع الناس ليصيروا مدمنين.,1
هذا ما يقوله جون إيرفن.,1
هل استخدامك لعاملي الصوت السردي المباشر والسلس مقرونا بعامل الحبكة المثيرة يعد خيارا واعيا لديك,4
الأمر ليس كذلك. فأنا لا أحيك خطة للكتابة عندما ابدأ بها. أشرع في كتابة القصة وأنتظرها. لا أختار نوع القصة ولا أوجه أحداثها. أنتظر فحسب. كان الأمر مع الغابة النرويجية مختلفا، لأني قررت مسبقا استخدام الأسلوب الواقعي. لكني عامة لا أختار.,8
هل تختار صوت الراوي، ذلك الصوت الجامد والسهل هل تختاره واعيا,5
تحضرني الصور وأربطها مع بعضها البعض تباعا. هكذا يتشكل خط سير القصة. بعدها آخذ في شرح خط سير القصة للقارئ. وعلى المرء أن يكون لطيفا للغاية لحظة شرحه لأي شيء. وإذا فكرت للحظة أنك تعرف أمرا ولا تريد شرحه، فهذا غرور. كلمات سهلة وكنايات لذيذة وصور معبرة. وهذا ما أفعله. أشرح بهدوء ووضوح.,8
هل يحضرك هذا الأمر طبيعيا,2
لست ذكيا. ولست مغرورا. أنا تماما مثل الناس الذين يقرؤون كتبي. كان لدي ناد للجاز، واعتدت تجهيز الكوكتيلات والساندويتشات للناس. لم أرد أن أصير كاتبا. ولكني كتبت. الكتابة بالنسبة لي هبة من السماء، ولذا علي أن أكون متواضعا.,6
في أي عمر صرت كاتبا وهل فاجأك الأمر,2
وأنا في التاسعة والعشرين من العمري. ونعم، تفاجأت. لكني اعتدت على الأمر مباشرة.,6
مباشرة شعرت بالارتياح منذ أول يوم كتابة,4
طفقت أكتب على طاولة المطبخ في منصف الليل. استغرقت عشرة أشهر في إنجاز الكتاب الأول وأرسلته لأحد الناشرين وحصلت بعدها على جائزة، وكان الأمر أشبه بالحلم. تفاجأت لحدوث الأمر. لكن بعد لحظة تفكير أدركته، أنا كاتب. ولم لا الأمر بالغ البساطة.,7
ما كان شعور زوجتك عند قرارك في التوجه للكتابة,4
لم تعلق على الأمر، وعندما أخبرتها بأني صرت كاتبا، تفاجأت وشعرت بالإحراج نوعا ما.,7
ولم شعرت بالإحراج لم تعتقد أن بإمكانك النجاح,3
ثمة ابتذال في فكرة أن يصير المرء كاتبا.,7
من هم قدواتك من أثر عليك من الكتاب اليابانيين,3
لم اقرأ للكثير من الكتاب اليابانيين في طفولتي ولا حتى في مراهقتي. رغبت في الهرب من هذه الثقافة. شعرت أنها كان مملة ولزجة.,7
ألم يكن والدك معلما للأدب الياباني,3
صحيح. علاقتي بأبي زينها الأدب أيضا. ولكني اتجهت للثقافة الغربية موسيقى الجاز ودوستويفسكي وكافكا ورايمند تشاندلر. كان هذا عالمي الخاص، عالمي الخيالي. كان بمقدوري الذهاب إلى سان بطرسبرغ أو إلى هوليوود الغربية إذا رغبت في ذلك. هنا تتمثل قوة الرواية، تهديك القدرة للسفر إلى أي مكان. صار من السهل الآن السفر إلى الولايات المتحدة. يمكن لأي أحد السفر إلى أي مكان يريدونه، ولكن في الستينيات كان الأمر مستحيلا تقريبا. ولذا كانت القراءة والموسيقى طريقتي في السفر. لذت بهما مثل الحلم.,8
وقادك هذا في مرحلة من المراحل إلى الكتابة,4
صحيح. عندما كنت في الحادي والعشرين من عمري، بدأت في كتابة رواية دون أي مقدمات. أردت كتابة شيء ما، ولكني لم أعرف كيف. لم أعرف كيف أكتب باللغة اليابانية لأني بالكاد قرأت أية أعمال لكتاب يابانيين، ولذا استعرت الأسلوب والصيغة وكل شيء من الكتب التي قرأتها، من الكتب الأميركية والغربية. ونتيجة لهذه الاستعارة، خرجت بأسلوبي الأصلي. كانت بداية.,8
نشر كتابك الأول وحصلت على جائزة وأنت في طريقك لتصير كاتبا. هل بدأت في مقابلة كتاب آخرين,4
لا. أبدا.,1
لم يكن لديك أي أصدقاء كتاب وقتها,1
كلا.,0
ومع مرور الوقت، هل قابلت أحدا صار لاحقا صديقك أو زميلك,1
كلا. أبدا.,0
ألا يوجد لديك أي أصدقاء كتاب حتى هذا اليوم,1
ألا تعرض كتاباتك على أحد في أثناء عملك عليها,1
إطلاقا.,0
ماذا عن زوجتك,1
أريتها المخطوطة الأولى لروايتي الأولى ولكنها تدعي بأنها لم تقرأها نهائيا! أظنها لم تشكل انطباعا عن العمل.,3
لم تندهش.,0
أصبت. ولكنها كانت المسودة الأولى، وكانت فظيعة. أعدت كتابتها مرارا وتكرارا.,5
ماذا عن الآن وأنت تعمل على كتاب ما، ألا يثيرها الفضول لتعرف عما تكتب,3
زوجتي هي قارئتي الأولى دائما. أكتب كتابا، واعتمد عليها، فهي شريكتي في الكتابة إلى حد ما. يذكرني الأمر بسكوت فيتسجيرالد، حيث كانت زوجته زيلدا قارئته الأولى.,7
لم تشعر بأي مرحلة من مهنتك كاتبا بأنك تنتمي إلى مجتمع من الكتاب,3
أنا انطوائي. لا أحب المجموعات والمدارس والدوائر الأدبية. يوجد في رينستون مطعم صغير حسبما أتذكر، ودعيت إليه. حضرت فيه آنذاك جويس كارول أوتس وتوني موريسون. خفت للغاية لدرجة أنني لم آكل أي شيء. كانت ماري موريسون هناك أيضا وهي امرأة لطيف جدا بنفس عمري تقريبا وصرنا أصدقاء. أما في اليابان، فلا أصدقاء كتاب لي لأني أحافظ على مسافتي.,7
كتبت جزءا ليس بالهين من رواية يوميات طائر الزنبرك في الولايات المتحدة. هل أثر عيشك فيها على عملية الكتابة أو على النص نفسه,7
عشت خلال سنوات كتابة رواية يوميات طائر الزنبرك الأربعة في الولايات المتحدة الأميركية غريبا. تبعني الإحساس بالغرابة مثل ظل وترك الأثر نفسه على الشخصية الرئيسة في الرواية. وبعد تفكيري بالموضوع، لو كتبت الرواية وأنا في اليابان، لكان قد خرج معي كتاب آخر مختلف تماما.,7
الغرابة التي أشعر بها وأنا في الولايات المتحدة الأميركية تختلف عن الغرابة التي تنتابني في اليابان. كان الإحساس بها في أميركا واضحا ومباشرا وأعطتني تقديرا أوضح لنفسي. كأني كنت وفي أثناء كتابة الرواية أعري نفسي، إلى حد ما.,7
هل يوجد كتاب حاليين في اليابان تقرأ لهم وتستمتع,5
بالطبع، ومنهم ريو موراكامي. أحب بعضا من كتب بانانا يوشيموتو. ولكني في الآن ذاته لا أحب المراجعات والنقد. لا أريد الانخراط بهذا.,6
ولم لا,0
أؤمن أن عملي يقوم على ملاحظة الناس والعالم لا الحكم عليهم. آمل دائما في موضعة نفسي بعيدا عن الأحكام والخلاصات. أريد أن أترك الأمور مفتوحة على كل الاحتمالات في العالم.,8
أفضل ترجمة النقد لأن الترجمة لا تلزمك بالحكم على أي شيء. سطر بسطر أدع الأعمال المفضلة عندي تمر عبر جسدي وذهني. نحن نحتاج على النقد في العالم بكل تأكيد، ولكني لست ناقدا.,6
بالعودة إلى كتبك لا بد أن أدب التحقيقات الأميركي الساخر كان موردا هاما لها. متى قرأت لهذا الجنس لأول مرة ومن عرفك عليه,5
وأنا أدرس الثانوية العامة استهوتني روايات الجريمة. كنت أعيش وقتها في كوبه، وهي مدينة ساحلية اعتاد الأجانب والبحارة الاجتماع فيها وبيع الكتب ذات الأغلفة الورقية لمكتبات الكتب المستعملة. كنت فقيرا، ولكن كان بوسعي شراء كتب الأغلفة الورقية بسعر زهيد. تعلمت الإنجليزية من هذه الكتب وكان الأمر شيقا.,7
ما كان أول كتاب قرأته بالإنجليزية,2
اسمي آرتشر للكاتب روس مكدونالد. تعلمت الكثير من تلك الكتب. وفورما بدأت بالتهامها لم يكن بمقدوري التوقف. أحببت في الوقت نفسه القراءة لتولستوي ودوستويفسكي. دفعتني تلك الكتب لقراءة صفحاتها تباعا، على الرغم من طولها، لم أتوقف عن قراءتها. لا فرق لدي بين دوستويفسكي ورايمند تشاندلر. حتى هذا الوقت، أرى أن كتابتي تكون في أبهى صورها حين أجمع بين صوتي دوستويفسكي وتشاندلر في كتاب واحد. هذا ما أرنو إليه.,5
متى قرأت كافكا للمرة الأولى,2
وأنا في الخامسة عشرة من عمري. قرأت رواية القلعة، وكان كتابا عظيما، ثم قرأت المحاكمة.,7
غريب. لأن أيا من هذه الأعمال لم يكتمل، ما يعني أنها تعقيداتها لم تحل. رواياتك كذلك، وخصوصا كتابك الأخير يوميات طائر الزنبرك، بدت الرواية كما لو أنها تقاوم إيجاد حل من النوع الذي يتوقعه القارئ. هل كان لكافكا ربما تأثير عليك,7
ليس حصرا. لا بد أنك قرأت لرايمند تشاندلر قبلا. لا تقدم كتبه نهايات واضحة للقراء. قد يقول إن فلان هو القاتل، ولكن لا يهمني من القاتل. في إحدى الحلقات الماتعة، صنع هاورد هوكس صورة لـ النوم الكبير. لم يعرف هوكس من هو قاتل الشوفير، فاتصل بتشاندلر وسأله، وأجابه تشاندلر لا أهتم. وأشاركه الشعور نفسه. لا تعني النهايات شيئا إطلاقا. لا أهتم لهوية القاتل في رواية الأخوان كارامازوف.,4
ولكن يبقى جزء كبير من إبداع وانتشار رواية النوم الكبير متمثلا في الرغبة بمعرفة القاتل,2
أنا نفسي وفي أثناء الكتابة لا أعرف من الفاعل. أتشارك والقارئ في هذه الخاصية. فعندما ابدأ في كتابة قصة ما، لا أعرف نهايتها ولا أعرف ماذا سيحصل بعد الحدث الحالي. ولو احتوت قصتي على جريمة قتل فلا أعرف من القاتل. أكتب الكتاب لأن ثمة رغبة تعتريني لأعرف. لو كنت أعرف من هو القاتل منذ البداية، فلن يكون أي هدف لدي لكتابة القصة.,6
هل ينبع هذا من رغبتك بعدم شرح كتبك لأنها قد تفقد قوتها مثل الأحلام إذا ما خضعت للتحليل,5
تتجسد عظمة الكتابة في أنها تمنحك القدرة على الحلم مستيقظا. لو حلمت حلما حقيقيا فلن تتمكن من السيطرة عليه. ولكن في حالة الكتابة، فأنت مستيقظ، وتختار الزمان والطول وكافة التفاصيل. أواصل الكتابة لأربع أو خمس ساعات في الصباح، وعندما أشعر بالحاجة إلى التوقف، أتوقف. يمكنني الاستمرار حتى حلول اليوم الجديد. لو كان حلما حقيقيا، لما تمكنت من فعل ذلك.,8
تدعي أنك لا تعرف القاتل في أثناء الكتابة، ولكن ثمة استثناء محتمل خطر لي الآن شخصية وتاندا من راوية (رقص رقص رقص). يمكن للقارئ ملاحظة بناء متعمد في الرواية يؤدي إلى لحظة اعتراف وتاندا ، وكما هو الأمر في روايات الجريمة الكلاسيكية، كان وتاندا آخر شخص قد يشتبه به. ألا يمكن أنك كنت تعرف مسبقا أن وتاندا كان مذنبا منذ البداية,5
لم أكن أعرف في المسودة الأولى أن القاتل هو وتاندا. ومع اقترابي من النهاية، أي بعد كتابة ثلثي الرواية، عرفت. وبعد عملي على المسودة الثانية أعدت كتابة شخصية وتاندا. عادة ما تكون المسودة الأولى غير مرتبة وتتطلب قدرا كبيرا من المراجعة.,7
كم عدد المسودات التي تعمل عليها قبل النشر,3
أربع أو خمس مسودات. أقضي ستة أشهر في كتابة المسودة الأولى، ثم سبعة أو ثمانية أشهر في إعادة الكتابة.,6
عملك سريع للغاية.,1
أنا كاتب متفان. أركز على عملي بقوة، وهو ما يجعل الكتابة سهلة بالنسبة لي، خصوصا أني حين أكتب، لا أقوم بأي عمل آخر.,8
كيف تخطط ليومك العادي,1
عندما أقرر الدخول في جو كتابة رواية، أصحو الساعة الرابعة صباحا وأكتب لحوالي خمس أو ست ساعات. وفي فترة الظهيرة، أجري عشرة كليو متر أو أسبح مسافة متر (أو أفعل الأمرين معا)، وبعدها اقرأ لبعض الوقت، ثم أستمع للموسيقى. أنام في الساعة التاسعة مساء. ألتزم بهذا الروتين يوميا دون تغيير. يتحول التكرار إلى أمر بالغ الأهمية مع مرور الوقت ويصير ضربا من ضروب السحر. ألقي على نفسي تعويذة سحرية لأصل إلى مستويات أعمق من عقلي. وجدير بالذكر أن الالتزام بهذا الروتين لفترة طويلة ستة أشهر أو سنة يتطلب قوة ذهنية وصحة بدنية. لذا تعتبر كتابة رواية طويلة بالنسبة لي تمرين لقدرتي على البقاء حيا في ظروف غير مواتية. وأؤكد أن القوة الجسدية ضرورية ضرورة الحساسية الفنية.,8
اسمح لي بسؤالك عن شخصيات أعمالك. إلى مدى تصير الشخصيات حقيقية في أثناء عملك عليها هل تجد أي أهمية في أن يكون لها حياتها المستقلة عن القصة والسرد الروائي,3
أميل إلى مشاهدة الناس الحقيقين في حياتي عند خلقي للشخصيات الجديدة في كتبي. لا أحب التكلم كثيرا، وأحب الاستماع لقصص الآخرين. لا أصنف الناس ولا أحكم عليهم، أحاول قدر المستطاع أن أفكر فيما يشعرون وإلى أين يذهبون بحياتهم. أجمع بعض الحقائق للشخصية من هذا الرجل وأخرى من تلك الفتاة. لا أدري ما إذا كان فعلي هذا معقول أم لا، ولكني أرى شخصيات أعمال الروائية حقيقية أكثر من الأشخاص الحقيقيين، وخلال الشهور الستة أو السبعة التي أكتب فيها عملا ما، تكون هذه الشخصيات في داخلي. كأنني كون في ذاتي.,8
نجد أن شخصياتك الرئيسية عادة ما تكون انعكاس لوجهة نظرك في العالم الفانتازي لقصصك ولسردك، كأن تكون أنت الحالم في الحلم.,2
أرجو منك أن تفكر بالأمر كالآتي لدي أخ توأم. وعندما كنت في الثانية من عمري، اختطف أخي، وأخذ إلى مكان بعيد ولم نره من وقتها. أفكر دائما في الشخصيات الرئيسة كأنها أخي. نعم هي جزء مني ولكنها ليست أنا، ولم نر بعضينا منذ زمن سحيق. كأن يكون لي وجود بديل. من ناحية بيولوجية، نحن توأم ونتشارك نفس الدنا ()، ولكن الظروف المحيط بكل منا شكلتنا بطريقة مختلفة، وعليه فإن طريقة تفكيرنا بالعالم تختلف. وفي كل مرة أشرع فيها بكتابة رواية، أكون شخصا آخر، لأني في بعض الأحيان أكون متعبا من نفسي. يتيح هذا الخيار لي الهرب. أنظر إلى الكتابة كأنها عالم خيالي بديل، ولو لم يكن للمرء ملجأ خيالي، فلماذا عساه يكتب,8
استفسار آخر عن رواية أرض العجائب الحارة. ثمة نوع من التناسق فيها وصفة رسمية إلى حد ما، كما أنها تتميز بنوع من الدقة غير الموجودة في أعمالك اللاحقة مثل يوميات طائر الزنبرك. هل تغيرت أفكارك عن وظيفة وأهمية النسق الروائي في مرحلة ما,2
نعم. لم تنشر أول روايتين لي خارج اليابان، وهذا نابع من رغبتي في ذلك، فهي أعمال غير ناضجة، وأراها كتب صغيرة من وجهة نظري. كانت أعمال رديئة، إن صح التعبير.,8
ما المشكلة فيها,1
كنت أحاول في أعمالي الأولى تقويضتفكيك الرواية اليابانية التقليدية، وما أقصده بالتقويضالتفكيك هنا، أي إلغاء تقاليدها الداخلية والمحافظة على إطارها المرجعيشكلها الخارجي. تعين علي بعدها ملأ هذا الإطار بمحتويات جديدة وأصلية. واكتشفت طريقة التعبئة الناجحة في كتابي الثالث، مطاردة الخراف الجامحة في عام . ساعداني أول كتابين في الوصول إلى الكتاب الثالث، وليس أكثر. أعتبر رواية مطاردة الخراف الجامحة البداية الأساسية لأسلوب كتابتي الخاص.,9
ومنذ ذلك الوقت، يزداد عدد صفحات كتبي الواحد تلو الآخر، وتصير بناها أكثر تعقيدا مع الزمن. كلما كتبت كتابا جديدا، أسعى لتدمير البنية السابقة التي استخدمتها، ولبناء شيء جديد. وأضع في كل مرة موضوع جديد أو قيود جديد أو رؤية جديدة في داخل الكتاب. أبقى واعيا طوال الوقت للبنية. وإذا تغيرت البنية، يتعين علي تغيير الشكل النثري بالتوازي. أما إذا كررت ما أفعله دائما تماما، فسيصيبني هذا بالملل.,8
ولكن كما تغيرت كثير من عناصر كتابتك، بقي بعضها حتى هذه اللحظة. تروى أعمالك دائما بضمير المتكلم. ويوجد في كل رواية شخصية رجل متعدد العلاقات الجنسية، وفي كل الروايات تكون علاقته تجاه النساء سلبية بحيث تكون هاته النساء تعبيرا عن مخاوفه وأوهامه.,1
في كتبي وقصصي، تكون النساء أوعية أو شخصيات مضيفة إلى حد ما، وتكون وظيفتها أن تسمح لأمر ما بالتجسد عبر شخصياتها. تصير المرأة في هذه الحالة نظاما يجب تجريبه. تقاد شخصية البطل في أعمالي دائما إلى مكان أو كشف ما عبر هذا الكائن الوسيط، وتكون رؤاه ومعرفته عن العالم معروضة للقارئ عبر المرأة نفسها.,9
أتقصد استخدام فكرة المرأة وسيطا كما كانت في العصر اليكتوري وسائط جسدية,3
أنظر إلى الجنس على أنه التزام روحي، فلو كان الجنس ماتعا، ستشفى جروحك، وسيصير خيالك خصبا. أرى في الجنس طريقا وممرا إلى المناطق العليا من العقل، إلى أماكن أفضل. وبناء على هذا، تكون شخصيات النساء في قصصي وسيطة ومبشرة بالعالم القادم، ولهذا تكون هي من تأتي إلى البطل، وليس هو من يذهب إليهن.,9
يبدو أنه يوجد نوعان متمايزان من النساء في رواياتك أولئك اللواتي يكون فيها البطل على علاقة جدية معهن، وغالبا ما تختفي هذه النساء وتلاحقهن الذاكرة وأولئك اللواتي يأتين متأخرات في حياة البطل ويساعدنه في البحث أو على النسيان. وتميل نساء النوع الثاني ليكن صريحات وغريبات أطوار وواضحات جنسيا، ويتفاعل الكاتب معهن بدفء وحس فكاهي أعلى مما يتفاعل مع النساء المفقودات واللواتي لم يتمكن من التواصل معهن على أي مستوى من المستويات. ما الهدف من استخدام هذه القوالب,2
غالبا ما تكون شخصية البطل في أعمالي عالقة بين العالم الروحي والعالم الحقيقي. تكون النساء -أو الرجال- في العالم الروحي هادئات وذكيات وحكيمات ومتواضعات. أما في العالم الحقيقي، فالنساء نشيطات جدا وخفيفات وحاضرات، ولهن حس فكاهي واضح، وتنقسم الشخصية بين هذين العالمين المتمايزين ولا يعود بإمكانها الاختيار. أعتقد أن هذه إحدى أهم المواضيع الرئيسة في أعمالي. ويمكنك أن تجدها جهارا نهارا في رواية أرض العجائب الحارة، حيث ينقسم عقل البطل فعليا وجسديا. الأمر نفسه ينطبق على الغابة النرويجية، حيث توجد فتاتان ولا يمكن للبطل أن تختار فيما بينهن، منذ بداية الرواية وحتى آخرها.,9
أتعاطف دائما مع الفتاة ذات الحس الفكاهي. من الأسهل السماح للقارئ بالدخول في علاقة يكون الحس الفكاهي فيها هو العامل الرئيس، ويكون من الصعب أن تقنع القارئ بشخصية تحمل مفهوما جديا عن علاقة الحب. في الغابة النرويجية، كنت أقف في صف ميدوري طوال الوقت.,8
أعتقد أن كل القراءة يشاطرونك الرأي، فأغلبهم سيختارون ميدوري، كما أن البطل يختارها في نهاية المطاف، ولكن يبقى جزء كبير منه في العالم الآخر، ولا يمكنه تركه، فهو جزء لا يتجزأ منه. لدى كل البشر جزء مريض في عقولهم. ذلك الفضاء جزء منه. لدى كل منا جزء عاقل في أدمغتنا وجزء مجنون. ويوجد تفاوض دائم بين هذه الأجزاء، حسبما أرى. ويتبدى الجزء المجنون من دماغي واضحا لي وأنا أكتب لا أعتقد أن كلمة مجنون هي الأنسب هنا. الجزء غير العادي أو غير الواقعي. علي العودة إلى العالم الواقعي بالطبع، وأن أختار الجزء العاقل، ولكني إذا لم أمتلك الجزء المجنون أو الجزء المريض، فلن أكون هنا. لأعيد صياغة ما أقول تدعم شخصية البطل امرأتين، وبدون أي منهن، لا يعود بإمكانه المواصلة، وتعتبر رواية الغابة النرويجية خير مثال على ما أفعله في كتاباتي.,3
تبدو الآن شخصية ريكو في الغابة النرويجية أكثر غموضا، فأنا لا أعرف كيف أصنفها لأن لها موطئ قدم في العالمين معا.,8
ريكو نصف عاقلة ونصف مجنونة. وكأنها ترتدي قناعا إغريقيا، لو نظرت إليها من جانب ما، فهي تبدو شخصية تراجيدية، ولو نظرت إليها من الجانب الآخر، فهي شخصية كوميدية، وهو ما يجعلها تماما شخصية رمزية. أحب شخصيتها جدا. كنت مسرورا جدا عندما كتبت شخصية العزيزة ريكو.,7
هل تشعر بانجذاب خاص إلى شخصياتك الكوميدية، مثل ميدوري وماي كاشارا، أكثر من انجذابك إلى الشخصيات مثل ناوكو,2
تستهويني كتابة الحوارات الكوميدية، فهي ممتعة، ولكن لو كانت كل شخصياتي كوميدية، فستكون أعمالي مملة. أستخدم الشخصيات الكوميدية كطريقة لأحافظ على استقراري العقلي، فوجود حس فكاهي أفضل ما يفعل ذلك. ولكي تكون ذا حس فكاهي يوجب عليك أن تكون خفيفا. عندما تكون جادا، فقد تكون غير مستقر، وهنا مشكلة الجدية. أما إذا كنت ذا حس فكاهي، فأنت مستقر، ولكن لا يمكنك خوض الحرب متبسما.,8
